,Unique_Reference_Number,Newspaper,Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive,Unnamed: 0,'File' Attachments,Notes,Place Published,Location,Record Number,Reference Type,Short Title,Title,Year,Reference Type.1,Edition,Issue,Reporter,County,Event Date
19,,Arizona Republican,1891-11-21,,,,,,,,,,,,,Chronicling America,19.0,"internal-pdf://3829176420/Arizona republican, November 21, 1891.pdf",,Residence if Rev. J.L. Pearson,"Phoeniz, Arizona",6003.0, Newspaper Article,The Epworth league of the Washington M.E. church,The Epworth league of the Washington M.E. church,,,,,,,
329,,Perrysburg Journal,1891-11-21,,,,,,,,,,,,,Chronicling America,329.0,"internal-pdf://3006968065/Perrysburg Journal, November 21, 1891.pdf",Menu included.,Centennial hall,"Perrysburg, Ohio",5941.0, Newspaper Article,,,"November 27, 1891",,,,,,
204,,Arizona republican,1891-11-22,,,,,,,,,,,,,Chronicling America,204.0,"internal-pdf://3829176416/Arizona republican, November 22, 1891.pdf",,Residence of Rev. Pearson,"Phoenix, Arizona",6443.0, Newspaper Article,Epworth league of the Washington street Methodist church,Epworth league of the Washington street Methodist church,"November 24, 1891",,,,,,
451,,The Sunday morning news,1891-11-29,,,,,,,,,,,,,Chronicling America,451.0,"internal-pdf://1748349612/The Sunday morning news, November 29, 1891.pdf",,Parlors of the Bergen Reformed Church,"Jersey City, New Jersey",6315.0, Newspaper Article,Ladies’ Aid society,Ladies’ Aid society,"December 03, 1891",,,,,,
313,R_372,Watertown Times,1891-12-02,"December 01, 1891",U.S.,NY,Watertown,The ladies of the Grace church,"Residence of Mrs. Eilas Cooper, Clinton street",Mrs. Elias Cooper,,,,y,Offers an explanation of the menu with an eBOF and solutions.,,,,,,"Watertown, NY, U.S.",,,,,,,,,,,
43,,Belmont Chronicle,1891-12-10,,,,,,,,,,,,,Chronicling America,43.0,"internal-pdf://1129566409/Belmont Chronicle, December 10, 1891.pdf",Menu included,,"St. Clairsville, Ohio",5943.0, Newspaper Article,Ladies Aid Society of the M.E. Church,Ladies Aid Society of the M.E. Church,"December 15, 1891",,,,,,
72,,Butler Citizen,1891-12-11,,,,,,,,,,,,,Chronicling America,72.0,"internal-pdf://3166533372/Butler Citizen, December 11, 1891.pdf",,,"Butler, Pennsylvania",5975.0, Newspaper Article,W.H. Ritter Esq,W.H. Ritter Esq,"December 05, 1891",,,,,,
33,,The Mitchell capital,1891-12-18,,,,,,,,,,,,,Chronicling America,33.0,"internal-pdf://3264626257/The Mitchell capital, December 18, 1891.pdf",,Residence of Mr. and Mrs. Powers,"Mt. Vernon, South Dakota",6716.0, Newspaper Article,Mr. and Mrs. Powers,Mr. and Mrs. Powers,"December 17, 1891",,,,,,
487,,Wheeling Sunday Register,1891-12-20,,,,,,,,,,,,,Chronicling America,487.0,"internal-pdf://0915711850/Wheeling Sunday Register, December 20, 1891.pdf",,,"Wheeling, West Virginia",6435.0, Newspaper Article,The Ladies’ Aid Society,The Ladies’ Aid Society,,,,,,,
410,,St. Johnsbury Caledonian,1891-12-24,,,,,,,,,,,,,Chronicling America,410.0,"internal-pdf://2860117064/St. Johnsbury Caledonian, December 24, 1891.pdf",,Congregational church,"St. Johnsbury, Vermont",6335.0, Newspaper Article,Ladies of the Congregational Church,Ladies of the Congregational Church,"December 19, 1891",,,,,,
438,,St. Paul daily globe,1892-01-04,,,,,,,,,,,,,Chronicling America,438.0,"internal-pdf://0995706884/St. Paul daily globe, January 04, 1892.pdf",Contains eBOF,"Residence of Mr. and Mrs. N.N. McFarran, 450 St. Anthony avenue","Saint Paul, Minnesota",6262.0, Newspaper Article,St. James Episcopal church,St. James Episcopal church,"January 04, 1892",,,,,,
443,,St. Paul daily globe,1892-01-10,,,,,,,,,,,,,Chronicling America,443.0,"internal-pdf://1566288816/St. Paul daily globe, January 10, 1892.pdf",,Residence of Mr. and Mrs. N.N. McFarren,"St. Paul, Minnesota",6277.0, Newspaper Article,St. James’ Episcopal church,St. James’ Episcopal church,,,,,,,
277,R_336,The Plattsburgh Sentinel,1892-01-15,"January 22, 1892",U.S.,NY,Mooers,The Ladies' Aid Society of the M.E. church,Church parlors,,20 cents,,,n,,,,,,,"Mooers, NY, U.S.",,,,,,,,,,,
218,,The Madison Daily Leader,1892-01-29,,,,,,,,,,,,,Chronicling America,218.0,"internal-pdf://3287535804/The Madison Daily Leader, January 29, 1892.pdf",,Baptist Church,"Madison, South Dakota",5992.0, Newspaper Article,The Baptist Young People,The Baptist Young People,"January 30, 1892",,,,,,
275,R_334,The Plattsburgh Sentinel,1892-02-05,"February 05, 1892",U.S.,NY,Plattsburgh,The Ladies of the M.E. Church,Church parlors,,,,,n,,,,,,,"Plattsburgh, NY, U.S.",,,,,,,,,,,
149,,Fort Worth Gazette,1892-02-05,,,,,,,,,,,,,Chronicling America,149.0,"internal-pdf://3249819489/Fort Worth Gazette, February 05, 1892pdf.pdf",Menu included. Also mentioned February 02.,Mulkey Memorial Church,"Fort Worth, Texas",5996.0, Newspaper Article,The Ladies Aid Society of the Mulkey Memorial Church,The Ladies Aid Society of the Mulkey Memorial Church,"February 12, 1892",,,,,,
308,R_367,Watertown Re-union,1892-02-10,"February 10, 1892",U.S.,NY,Plessis,The young people,M. Church prayer room,,,,,n,,,,,,,"Plessis, NY, U.S.",,,,,,,,,,,
119,,The Dickinson press,1892-02-13,,,,,,,,,,,,,Chronicling America,119.0,"internal-pdf://0216220853/The Dickinson press, February 13, 1892.pdf",Contains eBOF,"Lawrence building, on Villard street","Dickinson, North Dakota",6417.0, Newspaper Article,Ladies of the Episcopal church,Ladies of the Episcopal church,"February 18, 1892",,,,,,
20,,Arizona weekly journal-miner,1892-02-17,,,,,,,,,,,,,Chronicling America,20.0,"internal-pdf://0719885380/Arizona weekly journal-miner, February 17, 189.pdf","Contains eBOF; event is also referenced in Feb 24 issue,",The Elite Restaurant,"Prescott, Arizona",6004.0, Newspaper Article,,,"February 16, 1892",,,,,,
40,,Bellows Falls Times,1892-02-18,,,,,,,,,,,,,Chronicling America,40.0,"internal-pdf://2697728844/Bellows Falls Times, February 18, 1892.pdf",,,"Bellows Falls, Vermont",6373.0, Newspaper Article,Y.P.S.C.E.,Y.P.S.C.E.,"February 16, 1892",,,,,,
63,,Burlington weekly free press,1892-02-18,,,,,,,,,,,,,Chronicling America,63.0,"internal-pdf://2486371875/Burlington weekly free press, February 18, 189.pdf",,Congregational church,"Westford, Vermont",6766.0, Newspaper Article,,,"February 19, 1892",,,,,,
416,,St. Johnsbury Caledonian,1892-02-18,,,,,,,,,,,,,Chronicling America,416.0,"internal-pdf://1336092621/St. Johnsbury Caledonian, February 18, 1892.pdf",Also mentioned February 25.,Grange Hall,"St. Johnsbury, Vermont",6336.0, Newspaper Article,The Epworth League,The Epworth League,"February 18, 1892",,,,,,
276,R_335,The Plattsburgh Sentinel,1892-02-19,"February 26, 1892",U.S.,NY,Plattsburgh,The Ladies' Aid Society of the First Congregational church of Peru,Residence of Mr. F. C. Cate,Mr. F. C. Cate,,,,n,,,,,,,"Plattsburgh, NY, U.S.",,,,,,,,,,,
126,R_185,Rockland County Journal,1892-02-20,,U.S.,NY,Nyack,,,,,,,n,Does not reference an actual event; Exact same quote as R_108,,,,,,"Nyack, NY, U.S.",,,,,,,,,,,
64,,St. Paul daily globe,1892-02-21,,,,,,,,,,,,,Chronicling America,64.0,"internal-pdf://0995706882/St. Paul daily globe, February 21, 1892.pdf",,Church parlors,"Saint Paul, Minnesota",6599.0, Newspaper Article,Ladies of the Hebron Baptist church,Ladies of the Hebron Baptist church,"February 20, 1892",,,,,,
133,,Evening Capital Journal,1892-02-25,,,,,,,,,,,,,Chronicling America,133.0,"internal-pdf://3211441676/Evening Capital Journal, February 25, 1892.pdf",,Christian Church,"Salem, Oregon",5960.0, Newspaper Article,,,"February 26, 1892",,,,,,
42,,Bellows Falls Times,1892-02-25,,,,,,,,,,,,,Chronicling America,42.0,"internal-pdf://3581917166/Bellows Falls Times, February 25, 1892.pdf",,Town hall,"Bellows Falls, Vermont",6372.0, Newspaper Article,Y.P.A.S. of the Unitarian Church,Y.P.A.S. of the Unitarian Church,,,,,,,
89,,Vermont Phoenix,1892-02-26,,,,,,,,,,,,,Chronicling America,89.0,"internal-pdf://2711809224/Vermont Phoenix, February 26, 1892.pdf",,,"Brattleboro, Vermont",6654.0, Newspaper Article,Young Ladies,Young Ladies,,,,,,,"February 17, 1892"
108,R_167,Penn Yan Express,1892-03-02,"March 08, 1892",U.S.,NY,Keuka College,Ladies' Aid Society of the Park,Chapel,,,,,n,"""This entertainment is entiery new and novel""",,,,,,"Keuka College, NY, U.S.",,,,,,,,,,,
49,R_108,Commercial Advertiser,1892-03-02,,U.S.,NY,Potsdam Junction,,,,,,,n,"Does not reference an actual event but it's an early indication of the trend: ""A conundrum supper is the the latest fad in church entertainments. You guess what you are going to have for supper, and then guess how much change you are going to get out of a five-dollar bill""",,,,,,"Potsdam Junction, NY, U.S.",,,,,,,,,,,
185,,Wood County reporter,1892-03-03,,,,,,,,,,,,,Chronicling America,185.0,"internal-pdf://3130390631/Wood County reporter, March 03, 1892.pdf",,,"Grand Rapids, Wisconsin",6829.0, Newspaper Article,2nd ward Ladies’ Aid society of the Congregational church,2nd ward Ladies’ Aid society of the Congregational church,,,,,,,
278,R_337,The Plattsburgh Sentinel,1892-03-11,"March 17, 1892",U.S.,NY,Mooers,The M.E. Church Society of Mooers Forks,Town Hall,,,,,n,,,,,,,"Mooers, NY, U.S.",,,,,,,,,,,
